CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
169;bierse.BierseEvoSuiteTest$null;8;17;0;21;21;0;0;0;0;70;21
468;bierse.controller.DefaultMenuControllerEvoSuiteTest$null;8;12;2;27;27;2;0;2;0;68;48
863;bierse.controller.DefaultSettingsControllerEvoSuiteTest$null;7;7;4;31;31;6;0;5;1;64;79
1143;bierse.controller.DefaultTableModelControllerEvoSuiteTest$null;7;3;3;28;28;9;2;6;1;61;107
1319;bierse.controller.TriggerThreadEvoSuiteTest$null;6;1;0;21;21;9;2;6;1;61;128
1637;bierse.view.DefaultInfoViewEvoSuiteTest$null;11;83;0;25;25;9;2;6;1;61;153
1833;bierse.view.DefaultInfoViewMouseListenerEvoSuiteTest$null;6;2;0;27;27;9;2;6;1;61;180
2346;bierse.view.KeyMapComboBoxModelEvoSuiteTest$null;12;8;12;35;35;21;14;6;1;49;215
2510;bierse.view.MyKeyMapEvoSuiteTest$null;7;2;0;23;23;21;14;6;1;49;238
2920;bierse.view.RunningMessagePanelEvoSuiteTest$null;11;43;5;35;35;26;16;9;1;44;273
