CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.virtualinfinity.atrobots.AbstractCompilerTest$null;8;6;0;0;0;0;0;0;0;1917;0
1699;net.virtualinfinity.atrobots.AngleBracketTest$null;42;15;72;175;175;72;47;25;0;1845;175
3063;net.virtualinfinity.atrobots.HeadingTest$null;35;30;23;136;200;95;65;30;0;1822;311
226025;net.virtualinfinity.atrobots.computer.InstructionTest$null;215;187;826;1775;1835;921;480;425;16;996;2086
226850;net.virtualinfinity.atrobots.measures.AngleTest$null;11;6;23;101;148;944;503;425;16;973;2187
228086;net.virtualinfinity.atrobots.measures.VectorTest$null;14;8;56;124;180;1000;559;425;16;917;2311
