CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;bierse.BierseEvoSuiteTest$null;8;16;0;0;0;0;0;0;0;68;0
41;bierse.controller.DefaultMenuControllerEvoSuiteTest$null;7;10;2;4;4;2;0;2;0;66;4
208;bierse.controller.DefaultSettingsControllerEvoSuiteTest$null;6;8;4;8;8;6;0;5;1;62;12
267;bierse.controller.DefaultTableModelControllerEvoSuiteTest$null;7;3;3;5;5;9;2;6;1;59;17
303;bierse.view.DefaultInfoViewEvoSuiteTest$null;10;82;0;2;2;9;2;6;1;59;19
365;bierse.view.DefaultInfoViewMouseListenerEvoSuiteTest$null;5;2;0;4;4;9;2;6;1;59;23
586;bierse.view.KeyMapComboBoxModelEvoSuiteTest$null;13;7;12;12;12;21;14;6;1;47;35
587;bierse.view.MyKeyMapEvoSuiteTest$null;6;2;0;0;0;21;14;6;1;47;35
1141;bierse.view.RunningMessagePanelEvoSuiteTest$null;11;43;5;33;33;26;18;7;1;42;68
