mutantNo;[FAIL | TIME | EXC | LIVE]
1;LIVE
2;LIVE
3;LIVE
4;LIVE
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;LIVE
11;LIVE
12;LIVE
85;LIVE
150;FAIL
208;LIVE
209;LIVE
240;LIVE
241;LIVE
242;LIVE
243;LIVE
259;LIVE
260;LIVE
261;FAIL
262;LIVE
263;LIVE
