CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;com.werken.saxpath.DefaultXPathHandlerEvoSuiteTest$null;38;51;0;0;0;0;0;0;0;525;0
35;com.werken.saxpath.TokenEvoSuiteTest$null;10;2;1;4;4;1;0;1;0;524;4
696;com.werken.saxpath.XPathLexerEvoSuiteTest$null;17;10;20;39;39;21;19;2;0;504;43
13773;com.werken.saxpath.XPathReaderEvoSuiteTest$null;89;22;232;454;473;253;52;196;5;272;497
13854;org.saxpath.AxisEvoSuiteTest$null;26;18;9;9;26;262;61;196;5;263;506
14813;org.saxpath.conformance.ConformanceXPathHandlerEvoSuiteTest$null;39;28;49;50;50;311;109;196;6;214;556
