CPComplexity,CPMutation,EComplexity,EMutation,MComplexity,MMutation
1.74,1.5,1.74,28.2,1.74,43.2
1.76,41.3,1.76,29.2,1.76,37.1
1.38,19.2,1.38,28.7,1.38,51.1
2.05,4.7,2.05,27,2.05,76.2
2.05,8.5,2.05,34.3,2.05,52.1
3.52,0,3.52,33.7,3.52,18.3
1.5,5.9,1.5,46.5,1.5,30.4
2.82,11.6,2.82,36.2,2.82,12.7
2.1,0,2.1,58,2.1,43.8
1.29,0,1.29,77.1,1.29,56.5
