Program,Diebierse,Inspirento,Jnfe,Jni-inchi,Jsecurity,Lagoon,Lavalamp,Netweaver,Saxpath,Xisemele
CodePro,17,81,12,10,1973,1213,35,3083,13,13
EvoSuite,1620.6,2698.4,2488.8,1413.4,10878.8,7053.8,2924,5332.6,844.4,1936.6
Error,5.3,77.7,12.7,19.1,517.2,107.5,40.6,48.7,36.5,25.9
