CPTestCases,CPBranchCov,MTestCases,MBranchCov,ETestCases,EBranchCov
51,7,3,0,20.4,7.2
33,7,0,13,122.4,34.1
349,48,12,11,87.2,23.4
269,67,138,29,172.8,64.9
2264,21,56,11,582.6,36.3
1655,18,0,18,300.6,17.5
319,44,151,91,129,47.3
3513,29,141,2,122.8,1.4
539,49,0,56,200,54.4
358,27,169,84,152.2,32.1
