CPBranchCov,CPMutation,MBranchCov,MMutation,EBranchCov,EMutation,RBranchCov,RMutation
38,50,0,0,29,52.9,50,10.1
11,12.4,0,33.6,9,27.9,48,0
48,83.2,3,37.6,72.6,46.9,50,0
7,12,1,0,0,0,11,0
3,41.3,12,37.1,37,27.4,0,0
23,33.2,22,0,0,80,47,94.6
48,19.2,11,69.6,23,29.7,50,1.4
67,4.7,29,76.2,62.6,25.6,0,4.7
21,9.8,11,36.3,32.2,31.9,38,0
21,0,18,18.3,16.8,33.8,48,0
45,3.1,91,41.8,47.2,46.7,49,0
29,12.1,2,12.8,1,40.1,0,12.1
0,0,0,43.8,0,58.2,0,2.6
14,2,1,33.8,10.4,16.5,44,0
27,0,84,56.5,29.8,74.2,30,0
