CPTime,CPComplexity,ETime,EComplexity
17,1.74,1620.6,1.74
81,1.76,2698.4,1.76
12,1.38,2488.8,1.38
10,2.05,1413.4,2.05
1973,2.05,10878.8,2.05
1213,3.52,7053.8,3.52
35,1.5,2924,1.5
3083,2.82,5332.6,2.82
13,2.1,844.4,2.1
13,1.29,1936.6,1.29
