Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
client.gui.ImageCache,0,0,0,7,7,7,7,7,7,2410,1.0,1.0,6,,,36056,645,35411,11932,0,6,122,6,12,40,50,1434360090009,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1111111,0.7457627118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.ImageCache-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.gui.LoginDialog,29,58,1,18,15,2,0,73,1,589,0.0136986301369863,0.0136986301369863,1,,,61339,296,61043,19088,1,2,4,1,1,40,50,1434360355342,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0000000000000000000000000000000000000000000000000000000000000000000000001,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.LoginDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863
client.gui.ServerSelectionDialog,7,14,0,8,4,0,0,18,0,101,0.0,0.0,0,,,61074,63,61011,14064,0,1,1,0,0,40,50,1434360648635,60,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.ServerSelectionDialog-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
client.gui.SplashFrame,0,0,0,1,1,0,0,1,0,3,0.0,0.0,0,,,21735,31,21704,821,0,1,1,0,0,40,50,1434360943031,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.SplashFrame-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
client.gui.SplashThread,1,2,0,3,2,2,2,4,2,22550,0.5,0.5,1,,,61088,50,61038,18260,0,1,4,1,2,40,50,1434361193545,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1100,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.SplashThread-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
client.gui.components.MyButton,4,8,0,9,8,5,5,16,5,3601,0.3125,0.3125,2,,,63629,2372,61257,18761,0,9,167,2,8,40,50,1434361488438,60,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,5,1101100100000000,0.015748031496062992,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.components.MyButton-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
client.gui.components.MyPanel,8,16,0,10,9,6,6,25,6,7061,0.24,0.24,4,,,61580,536,61044,17230,0,5,85,4,9,40,50,1434361784280,60,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,5,0011111100000000000000000,0.30414746543778803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.components.MyPanel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
client.gui.components.MyTextField,2,4,0,4,3,3,3,7,3,7219,0.42857142857142855,0.42857142857142855,2,,,61193,135,61058,15657,0,2,19,2,2,40,50,1434362074686,60,0,0,0,0,9,0,0,60,0,1,0,0,0,0,0,0,0,5,1110000,0.00510204081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.gui.components.MyTextField-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
client.network.ForwardingObserver,6,12,2,2,1,2,1,13,3,15123,0.23076923076923078,0.23076923076923078,1,,,61186,81,61105,17707,0,1,7,1,2,40,50,1434362372168,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1100010000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.network.ForwardingObserver-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
client.network.GeneralMsgProcessor,0,0,0,2,2,2,2,2,2,2997,1.0,1.0,1,,,10333,143,10190,6759,0,1,18,1,3,40,50,1434362666002,60,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,11,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.network.GeneralMsgProcessor-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
client.view.BombView,3,6,1,7,5,2,1,11,2,3635,0.18181818181818182,0.18181818181818182,1,,,61457,364,61093,14081,0,4,60,1,4,40,50,1434362906556,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,10000100000,0.02147239263803681,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.view.BombView-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
client.view.ExplosionGfxFactory,9,18,17,7,5,7,5,23,22,4431,0.9565217391304348,0.9565217391304348,1,,,61536,425,61111,51295,0,2,17,1,2,40,50,1434363197098,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11111101111111111111111,0.2074468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_client.view.ExplosionGfxFactory-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
