CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
421;com.allenstudio.ir.core.PluginManagerTest$null;22;23;13;26;26;13;1;12;0;33;26
596;com.allenstudio.ir.util.InspirentoUtilitiesTest$null;13;6;6;20;20;19;1;18;0;27;46
