Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
dk.statsbiblioteket.summa.common.index.IndexCommon,12,24,13,7,4,5,2,28,15,35326,0.5357142857142857,0.5357142857142857,5,,,61263,248,61015,32322,0,3,20,5,8,40,50,1434013508029,60,0,0,0,0,2982,0,0,312,0,0,0,0,0,0,0,0,0,3,1111101110100001111100010000,0.0684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexCommon-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857
dk.statsbiblioteket.summa.common.index.IndexField,67,134,43,64,52,61,52,186,95,32840,0.510752688172043,0.510752688172043,31,,,73383,8752,64631,13196,2,13,332,31,67,40,50,1434013644698,60,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,111111111111111111111111111111111111111111111111111111000000000000000000000000000000011110010101000000000000001110001011110101010101010101010101010101010110000000100001011001100110000001,0.30112721417069244,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexField-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043,0.510752688172043
dk.statsbiblioteket.summa.common.index.IndexGroup,22,44,25,14,9,14,9,53,34,70162,0.6415094339622641,0.6415094339622641,17,,,61782,771,61011,12463,0,10,106,17,48,40,50,1434013802128,60,0,1,0,0,13,0,0,2,0,12,0,0,0,0,0,0,0,3,11111111101000000000000111111111111111111011000001111,0.3729508196721312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.index.IndexGroup-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.6415094339622641
dk.statsbiblioteket.summa.common.lucene.LuceneIndexUtils,14,28,0,3,1,1,1,29,1,172699,0.034482758620689655,0.034482758620689655,1,,,61068,65,61003,51914,0,1,1,1,1,40,50,1434013964198,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10000000000000000000000000000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.lucene.LuceneIndexUtils-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
dk.statsbiblioteket.summa.common.lucene.analysis.RuleParser,38,76,10,7,5,6,4,81,65,93539,0.8024691358024691,0.1728395061728395,4,,,61457,451,61006,30473,1,7,45,4,15,40,50,1434014098036,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111011100000000000000000000000000000000000000000000000000000000000000000011111111,0.23595505617977527,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.lucene.analysis.RuleParser-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9382716049382716,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.8024691358024691
dk.statsbiblioteket.summa.common.lucene.analysis.Rules,0,0,0,1,1,1,1,1,1,6218,1.0,1.0,1,,,1642,59,1583,1207,0,1,3,1,1,40,50,1434014223566,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.lucene.analysis.Rules-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dk.statsbiblioteket.summa.common.marc.MARC,0,0,0,1,1,1,1,1,1,5156,1.0,1.0,1,,,1345,92,1253,926,0,1,11,1,1,40,50,1434014370094,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.marc.MARC-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dk.statsbiblioteket.summa.common.marc.MARCObject,49,98,60,47,30,46,30,128,90,101848,0.703125,0.703125,40,,,67424,6416,61008,17316,0,10,245,40,91,40,50,1434014430702,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111110111101010101100000111111111101011111111010111111110101111111111000111010110101011011101101010101011111111111101010000110,0.5131004366812227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.marc.MARCObject-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7039805475504323,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125
dk.statsbiblioteket.summa.common.marc.MARCObjectFactory,3,6,0,13,11,5,5,17,5,466,0.29411764705882354,0.29411764705882354,2,,,65763,450,65313,576,0,2,57,2,2,40,50,1434014567046,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11100100000000010,0.01834862385321101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.marc.MARCObjectFactory-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354
dk.statsbiblioteket.summa.common.marc.MARCStepper,18,36,1,21,18,4,3,54,4,2256,0.07407407407407407,0.07407407407407407,2,,,62262,813,61449,2282,1,7,125,2,8,40,50,1434014693638,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,000000000001000001011000000000000000000000000000000000,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/home/jeshkracht/evosuite-report/data/statistics_dk.statsbiblioteket.summa.common.marc.MARCStepper-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
