mutantNo;[FAIL | TIME | EXC | LIVE]
75;LIVE
76;EXC
77;LIVE
78;LIVE
79;LIVE
80;LIVE
81;LIVE
82;LIVE
83;LIVE
84;LIVE
85;LIVE
86;LIVE
87;LIVE
88;LIVE
89;LIVE
90;LIVE
91;LIVE
92;LIVE
98;FAIL
99;FAIL
100;LIVE
101;LIVE
102;LIVE
103;EXC
107;LIVE
108;FAIL
