CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
109379;org.jsecurity.io.DefaultSerializerEvoSuiteTest$null;8;16;3;3;3;895;403;490;2;1342;2537
112379;org.jsecurity.io.IniResourceEvoSuiteTest$null;40;42;14;49;66;909;403;504;2;1328;2586
114133;org.jsecurity.io.ResourceUtilsEvoSuiteTest$null;37;40;14;41;51;923;411;510;2;1314;2627
114581;org.jsecurity.io.TextResourceEvoSuiteTest$null;36;37;1;11;22;924;411;511;2;1313;2638
114628;org.jsecurity.io.XmlSerializerEvoSuiteTest$null;11;40;2;4;4;926;412;512;2;1311;2642
115641;org.jsecurity.jndi.JndiLocatorEvoSuiteTest$null;37;41;5;24;24;931;415;514;2;1306;2666
117013;org.jsecurity.jndi.JndiTemplateEvoSuiteTest$null;37;37;6;20;21;937;421;514;2;1300;2686
143166;org.jsecurity.mgt.SessionsSecurityManagerEvoSuiteTest$null;106;119;15;185;408;952;423;527;2;1285;2871
144271;org.jsecurity.realm.CachingRealmEvoSuiteTest$null;45;47;1;16;19;953;424;527;2;1284;2887
146795;org.jsecurity.realm.jndi.JndiRealmFactoryEvoSuiteTest$null;37;37;5;34;41;958;425;531;2;1279;2921
149126;org.jsecurity.realm.ldap.DefaultLdapContextFactoryEvoSuiteTest$null;35;37;10;33;33;968;426;540;2;1269;2954
149325;org.jsecurity.realm.ldap.LdapUtilsEvoSuiteTest$null;33;31;2;3;3;970;427;541;2;1267;2957
149334;org.jsecurity.session.ProxiedSessionEvoSuiteTest$null;5;0;1;1;1;971;428;541;2;1266;2958
158168;org.jsecurity.util.AntPathMatcherEvoSuiteTest$null;15;10;243;408;408;1214;599;608;7;1023;3366
160210;org.jsecurity.util.ClassUtilsEvoSuiteTest$null;37;34;6;29;29;1220;601;612;7;1017;3395
160696;org.jsecurity.util.CollectionUtilsEvoSuiteTest$null;6;2;6;40;56;1226;601;618;7;1011;3435
160923;org.jsecurity.util.JdbcUtilsEvoSuiteTest$null;34;30;0;3;3;1226;601;618;7;1011;3438
162146;org.jsecurity.util.PermissionUtilsEvoSuiteTest$null;9;4;18;72;112;1244;603;634;7;993;3510
164275;org.jsecurity.util.StringUtilsEvoSuiteTest$null;12;6;58;135;155;1302;618;677;7;935;3645
164485;org.jsecurity.web.RedirectViewEvoSuiteTest$null;34;30;0;3;3;1302;618;677;7;935;3648
165482;org.jsecurity.web.attr.RequestParamAttributeEvoSuiteTest$null;35;29;0;15;15;1302;618;677;7;935;3663
165483;org.jsecurity.web.servlet.ServletContextSupportEvoSuiteTest$null;6;0;0;0;0;1302;618;677;7;935;3663
